City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Waipawa,NZ,2022-07-21 21:37:49,-41.4122,175.5153,45.79,73,98,13.51
131,Pangnirtung,CA,2022-07-21 21:37:23,66.1451,-65.7125,46.4,93,75,8.05
132,Maraba,BR,2022-07-21 21:37:50,-5.3686,-49.1178,89.78,35,20,3.44
133,Lypova Dolyna,UA,2022-07-21 21:37:50,50.5643,33.7979,57.29,97,5,9.82
134,Port Alfred,ZA,2022-07-21 21:37:50,-33.5906,26.891,57.58,75,0,7.81
135,Bantou,CN,2022-07-21 21:37:51,26.2151,117.4893,77.86,87,1,1.34
136,Adrar,MR,2022-07-21 21:37:51,20.5022,-10.0711,93.76,30,88,0.69
137,Airai,TL,2022-07-21 21:35:16,-8.9266,125.4092,54.41,92,97,4.07
138,Margate,GB,2022-07-21 21:38:51,51.3813,1.3862,65.3,78,16,5.01
139,Coihaique,CL,2022-07-21 21:38:52,-45.5752,-72.0662,33.75,75,75,6.91
140,Black River,JM,2022-07-21 21:38:52,18.0264,-77.8487,87.58,61,12,9.53
141,Katsuura,JP,2022-07-21 21:38:52,35.1333,140.3,79.61,87,46,14.85
142,San Isidro,PE,2022-07-21 21:38:53,-12.1167,-77.05,60.39,77,100,9.22
143,Ahipara,NZ,2022-07-21 21:36:04,-35.1667,173.1667,57.04,74,81,8.19
144,Kahului,US,2022-07-21 21:36:12,20.8947,-156.47,82.42,69,75,17.27
145,Bilma,NE,2022-07-21 21:38:54,18.6853,12.9164,93.9,26,95,6.76
146,Saskylakh,RU,2022-07-21 21:38:54,71.9167,114.0833,49.69,68,100,7.18
147,Yilan,TW,2022-07-21 21:38:54,24.757,121.753,82.9,99,1,2.73
148,Salalah,OM,2022-07-21 21:38:55,17.0151,54.0924,77.09,94,100,5.75
149,Nome,US,2022-07-21 21:37:24,64.5011,-165.4064,46.47,81,100,13.8
150,Bageshwar,IN,2022-07-21 21:38:55,29.85,79.7667,69.67,98,98,0.74
151,Ayia Marina,GR,2022-07-21 21:38:56,37.75,23.5333,83.43,61,0,9.24
152,Berlevag,NO,2022-07-21 21:38:32,70.8578,29.0864,62.4,94,75,0.0
153,Poum,NC,2022-07-21 21:38:56,-20.2333,164.0167,77.32,85,99,25.61
154,Trincomalee,LK,2022-07-21 21:38:57,8.5711,81.2335,78.85,86,88,14.03
155,Mweka,CD,2022-07-21 21:38:57,-4.85,21.5667,75.81,44,68,1.23
156,Salym,RU,2022-07-21 21:38:57,60.0625,71.4789,48.94,87,57,6.4
157,Qaanaaq,GL,2022-07-21 21:38:58,77.484,-69.3632,43.25,90,100,9.55
158,Havre-Saint-Pierre,CA,2022-07-21 21:38:58,50.2334,-63.5986,75.56,50,100,2.3
159,Madera,US,2022-07-21 21:38:04,37.1666,-119.8343,107.08,10,3,3.0
160,Erzin,TR,2022-07-21 21:35:03,36.9559,36.2,75.33,65,0,2.73
161,Chokurdakh,RU,2022-07-21 21:38:59,70.6333,147.9167,51.13,38,0,8.68
162,Santiago Del Estero,AR,2022-07-21 21:38:59,-27.7951,-64.2615,73.8,52,17,12.62
163,Kozhva,RU,2022-07-21 21:38:59,65.1073,57.0459,49.57,60,20,8.25
164,Port Elizabeth,ZA,2022-07-21 21:39:00,-33.918,25.5701,46.69,93,0,4.61
165,Esperance,AU,2022-07-21 21:37:26,-33.8667,121.9,53.37,78,66,17.49
166,Christchurch,NZ,2022-07-21 21:35:07,-43.5333,172.6333,43.41,81,100,5.75
167,Sao Joao Da Barra,BR,2022-07-21 21:39:00,-21.6403,-41.0511,73.49,84,6,10.13
168,Urucara,BR,2022-07-21 21:39:01,-2.5364,-57.76,79.84,75,77,1.34
169,Jejuri,IN,2022-07-21 21:39:01,18.2833,74.1667,70.38,88,97,7.9
170,Gadung,PH,2022-07-21 21:39:01,6.8025,124.02,78.58,79,100,4.12
171,Bara,NG,2022-07-21 21:39:02,10.3744,10.7288,74.62,86,67,8.41
172,San Quintin,MX,2022-07-21 21:39:02,30.4833,-115.95,74.17,69,100,16.24
173,Gonbad-E Qabus,IR,2022-07-21 21:39:03,37.25,55.1672,83.35,73,0,7.0
174,Gold Coast,AU,2022-07-21 21:39:03,-28.0,153.4333,63.0,91,75,17.27
175,Lasa,IT,2022-07-21 21:39:03,46.6166,10.7002,74.28,86,48,2.51
176,Krasnyy Chikoy,RU,2022-07-21 21:39:04,50.3643,108.7512,57.43,97,100,3.94
177,Skeldon,GY,2022-07-21 21:39:04,5.8833,-57.1333,78.55,83,32,6.17
178,Liverpool,GB,2022-07-21 21:36:25,53.4106,-2.9779,63.61,74,75,5.75
179,Mosetse,BW,2022-07-21 21:39:05,-20.75,26.65,60.55,67,87,12.86
180,Alim,PH,2022-07-21 21:40:05,9.5649,122.4876,79.59,82,100,3.78
181,Svetlaya,RU,2022-07-21 21:40:06,46.5389,138.3297,60.21,92,100,1.97
182,Anloga,GH,2022-07-21 21:40:06,5.7947,0.8973,75.25,80,12,12.93
183,Mecca,SA,2022-07-21 21:40:06,21.4267,39.8261,86.97,53,68,3.44
184,Cidreira,BR,2022-07-21 21:40:07,-30.1811,-50.2056,62.53,91,92,2.1
185,Morehead,US,2022-07-21 21:40:07,37.2711,-87.1764,90.86,49,0,3.0
186,Kulu,TR,2022-07-21 21:40:07,39.0951,33.0799,66.76,47,0,6.93
187,Akureyri,IS,2022-07-21 21:40:08,65.6835,-18.0878,49.93,87,40,9.22
188,Lakatoro,VU,2022-07-21 21:40:08,-16.0999,167.4164,80.62,81,26,13.69
189,Vaitape,PF,2022-07-21 21:38:30,-16.5167,-151.75,77.45,73,11,11.16
190,Bowen,AU,2022-07-21 21:40:09,-20.0167,148.2333,61.77,85,30,5.57
191,Iquique,CL,2022-07-21 21:40:09,-20.2208,-70.1431,60.84,81,97,4.12
192,Saint-Joseph,RE,2022-07-21 21:40:09,-21.3667,55.6167,63.21,81,32,12.55
193,Ust-Omchug,RU,2022-07-21 21:40:10,61.15,149.6333,62.55,64,60,4.05
194,Severo-Kurilsk,RU,2022-07-21 21:38:58,50.6789,156.125,53.64,96,100,25.55
195,Olinda,BR,2022-07-21 21:36:24,-8.0089,-34.8553,76.73,83,40,8.05
196,Sinnamary,GF,2022-07-21 21:40:10,5.3833,-52.95,78.4,84,22,8.41
197,Boa Vista,BR,2022-07-21 21:40:11,2.8197,-60.6733,87.78,62,20,5.75
198,Tual,ID,2022-07-21 21:40:11,-5.6667,132.75,78.53,70,95,19.35
199,Xining,CN,2022-07-21 21:40:11,36.6167,101.7667,44.73,88,38,3.49
200,Kutum,SD,2022-07-21 21:40:12,14.2,24.6667,75.09,57,96,6.51
201,Ossora,RU,2022-07-21 21:40:12,59.2353,163.0719,61.14,61,1,6.2
202,Morant Bay,JM,2022-07-21 21:37:23,17.8815,-76.4093,92.71,71,54,11.97
203,High Level,CA,2022-07-21 21:35:39,58.5169,-117.136,55.51,100,100,12.66
204,Aripuana,BR,2022-07-21 21:40:13,-9.1667,-60.6333,83.12,43,9,1.23
205,Soe,ID,2022-07-21 21:40:14,-9.8607,124.284,61.14,94,98,4.47
206,Valentin Gomez Farias,MX,2022-07-21 21:40:14,28.2167,-106.5833,93.69,18,57,14.76
207,Charters Towers,AU,2022-07-21 21:40:14,-20.1,146.2667,57.02,82,2,6.85
208,Kaitangata,NZ,2022-07-21 21:40:15,-46.2817,169.8464,44.08,88,96,2.64
209,Broken Hill,AU,2022-07-21 21:40:15,-31.95,141.4333,45.5,89,58,10.76
210,Les Cayes,HT,2022-07-21 21:40:15,18.2,-73.75,84.54,70,61,9.4
211,Okhotsk,RU,2022-07-21 21:40:16,59.3833,143.3,59.88,84,100,4.21
212,Porangatu,BR,2022-07-21 21:40:16,-13.4408,-49.1486,78.15,32,24,2.59
213,Urumqi,CN,2022-07-21 21:40:16,43.801,87.6005,74.35,25,0,8.95
214,Cabedelo,BR,2022-07-21 21:39:55,-6.9811,-34.8339,75.87,83,99,8.97
215,Lagoa,PT,2022-07-21 21:40:17,39.05,-27.9833,72.16,88,95,4.23
216,Khatanga,RU,2022-07-21 21:40:17,71.9667,102.5,51.26,83,100,14.41
217,Krizevci,HR,2022-07-21 21:40:18,46.0219,16.5425,71.2,39,0,4.7
218,Phan Thiet,VN,2022-07-21 21:35:54,10.9333,108.1,74.68,89,78,4.21
219,Piacabucu,BR,2022-07-21 21:40:18,-10.4056,-36.4344,72.95,81,78,6.15
220,Balangiga,PH,2022-07-21 21:40:19,11.1097,125.3875,80.2,86,99,5.53
221,Mujiayingzi,CN,2022-07-21 21:40:19,42.1167,118.7833,67.84,78,0,3.4
222,Kloulklubed,PW,2022-07-21 21:40:19,7.0419,134.2556,75.7,71,98,2.01
223,Chicama,PE,2022-07-21 21:40:20,-7.8447,-79.1469,61.34,64,90,7.02
224,Ujhani,IN,2022-07-21 21:41:20,28.0167,79.0167,83.66,76,100,6.89
225,Garissa,KE,2022-07-21 21:41:21,-0.4536,39.6401,72.68,72,1,22.77
226,Santa Cruz,BO,2022-07-21 21:41:04,-17.8,-63.1667,82.45,51,75,18.41
227,Baykit,RU,2022-07-21 21:41:21,61.67,96.37,55.56,88,24,2.44
228,Torbay,CA,2022-07-21 21:41:22,47.6666,-52.7314,75.97,60,75,16.11
229,Shache,CN,2022-07-21 21:41:22,38.4167,77.2406,77.59,15,0,5.57
230,Kruisfontein,ZA,2022-07-21 21:41:22,-34.0033,24.7314,49.78,88,21,4.65
231,Castro Verde,PT,2022-07-21 21:41:23,37.6983,-8.0858,80.02,52,13,7.31
232,Geraldton,AU,2022-07-21 21:41:23,-28.7667,114.6,54.01,87,100,9.22
233,Sukhothai,TH,2022-07-21 21:37:59,17.25,99.6667,75.25,97,100,6.67
234,East London,ZA,2022-07-21 21:39:51,-33.0153,27.9116,58.93,77,3,6.69
235,Roma,US,2022-07-21 21:41:24,43.2128,-75.4557,85.73,71,40,10.36
236,Palmer,US,2022-07-21 21:41:24,42.1584,-72.3287,89.2,48,20,14.97
237,Coahuayana,MX,2022-07-21 21:41:24,18.7333,-103.6833,90.16,65,86,7.49
238,Dhola,IN,2022-07-21 21:41:25,21.8833,71.7833,79.9,81,93,9.86
239,Ayan,RU,2022-07-21 21:41:25,56.45,138.1667,57.72,91,99,4.7
240,Novobirilyussy,RU,2022-07-21 21:41:25,56.9514,90.6661,55.13,96,76,5.3
241,Methoni,GR,2022-07-21 21:41:26,36.8197,21.7049,80.22,58,0,7.87
242,Novoanninskiy,RU,2022-07-21 21:41:26,50.5287,42.6747,60.57,87,32,6.4
243,Placerville,US,2022-07-21 21:38:57,38.7296,-120.7986,101.52,16,0,4.61
244,Polson,US,2022-07-21 21:41:27,47.6936,-114.1632,90.21,20,27,11.99
245,Arys,KZ,2022-07-21 21:41:27,42.4252,68.795,86.14,15,0,10.83
246,Caraquet,CA,2022-07-21 21:41:27,47.7941,-64.9386,72.14,91,96,11.41
247,Andra,RU,2022-07-21 21:41:28,62.5147,65.8878,52.14,76,65,1.92
248,Stornoway,GB,2022-07-21 21:41:28,58.2093,-6.3865,54.93,83,75,2.3
249,Karratha,AU,2022-07-21 21:40:19,-20.7377,116.8463,68.22,84,0,6.78
250,Tucuman,AR,2022-07-21 21:41:28,-26.8241,-65.2226,71.6,40,75,5.75
251,Yumen,CN,2022-07-21 21:41:29,40.2833,97.2,67.15,26,0,7.83
252,Mabaruma,GY,2022-07-21 21:41:29,8.2,-59.7833,73.4,100,75,0.0
253,Maldonado,UY,2022-07-21 21:41:29,-34.6667,-54.9167,50.23,93,100,5.01
